id,nome,sobrenome,data_nascimento,cidade,telefone
61,José,Nascimento,1983-09-07,Salvador,71990001144
62,Cláudia,Farias,1991-01-27,Camaçari,71995556677
63,Eduardo,Teles,1988-03-19,Feira de Santana,75992223455
64,Mônica,Ramalho,1993-12-04,Vitória da Conquista,77993332211
65,Priscila,Moreira,1990-08-22,Ilhéus,73991112233
66,Leonardo,Assunção,1994-07-15,Salvador,71997776655
67,José,Nascimentoo,1983-09-07,Slvadr,7199000114 <-- duplicata id 61
68,Claudia,Faria,1991-01-27,Camacari,7199555667 <-- duplicata id 62
69,Eduarodo,Teles,1988-03-19,Feira Santana,7599222345 <-- duplicata id 63
70,Monica,Ramalo,1993-12-04,Vitoria Conquista,7799333221 <-- duplicata id 64
71,Priscilla,Moreeira,1990-08-22,Ilheús,7399111223 <-- duplicata id 65
72,Leonrdo,Asunçao,1994-07-15,Slvador,7199777665 <-- duplicata id 66
73,Sérgio,Fontes,1989-02-14,Feira de Santana,75991234588
74,Hugo,Cardim,1987-11-30,Vitória da Conquista,77995554422
75,Rita,Monteiro,1992-10-17,Ilhéus,73993335511
76,Larissa,Alves,1996-03-08,Camaçari,71990007733
77,Bruna,Medeiros,1994-12-12,Itabuna,73998881133
78,Sergio,Fonttes,1989-02-14,Feira Santana,7599123458 <-- duplicata id 73
79,Hgo,Cardin,1987-11-30,Vioria Conquista,7799555442 <-- duplicata id 74
80,Ria,Monteir,1992-10-17,Ilheús,7399333551 <-- duplicata id 75
81,Larrisa,Alvees,1996-03-08,Camacari,7199000773 <-- duplicata id 76
82,Brunna,Medeiroos,1994-12-12,Itabna,7399888113 <-- duplicata id 77
83,Caio,Guedes,1990-10-10,Salvador,71995553322
84,Vanessa,Ribeiro,1992-09-18,Feira de Santana,75990004422
85,Murilo,Porto,1991-02-23,Itabuna,73995556633
86,Yasmin,Araújo,1993-05-28,Lauro de Freitas,71990001177
87,Caio,Guedees,1990-10-10,Salvdor,7199555332 <-- duplicata id 83
88,Vanesa,Ribero,1992-09-18,Feira Santana,7599000442 <-- duplicata id 84
89,Murillo,Portto,1991-02-23,Itbuna,7399555663 <-- duplicata id 85
90,Ysmin,Arajo,1993-05-28,Laro Freitas,7199000117 <-- duplicata id 86
91,Luis,Queiroz,1987-04-14,Camaçari,71995557799
92,Helena,Brito,1995-11-11,Itabuna,73991113344
93,Marcela,Gonçalves,1992-07-19,Salvador,71998886644
94,Thiago,Neves,1990-01-20,Feira de Santana,75990001155
95,Lus,Queroz,1987-04-14,Camacri,7199555779 <-- duplicata id 91
96,Helna,Britoo,1995-11-11,Itabua,7399111334 <-- duplicata id 92
97,Marcela,Goncalves,1992-07-19,Slvador,7199888664 <-- duplicata id 93
98,Tiago,Nevees,1990-01-20,Feira Santana,7599000115 <-- duplicata id 94
99,Otávio,Silveira,1989-06-14,Salvador,71997778899
100,Otavio,Silveria,1989-06-14,Slvador,7199777889 <-- duplicata id 99
